id,sample,click,question,confidence,chosen_answer,confidence_recoded,n_clicks,actual_answer,grade,mode,type,is_attention,page,same
68,8,1,1,5,1,3,1,1,1,3,1,1,1,1
277,6,1,1,5,1,3,1,1,1,1,1,1,1,1
225,7,1,3,1,0,2,1,0,1,3,4,0,1,0
77,2,1,1,5,1,3,1,1,1,1,3,0,1,1
267,8,1,1,5,1,3,1,1,1,1,1,1,1,1
1142,9,1,1,4,1,2,1,1,1,4,3,0,1,1
167,8,1,1,5,1,3,1,1,1,3,1,1,1,1
247,9,1,2,5,1,3,1,1,1,5,5,0,1,1
281,6,1,1,5,1,3,1,1,1,5,1,1,1,1
1001,4,1,1,5,1,3,1,1,1,3,6,0,1,1
26,6,1,1,5,1,3,1,1,1,5,1,1,1,1
231,1,1,1,5,1,3,1,1,1,3,5,0,1,1
58,8,1,1,5,1,3,1,1,1,5,1,1,1,1
284,5,1,1,1,0,2,1,0,1,5,4,0,1,0
96,5,1,1,1,0,2,1,0,1,3,4,0,1,0
41,1,1,3,0,0,3,1,0,1,3,4,0,1,0
146,7,1,1,4,1,2,1,1,1,4,6,0,1,1
261,10,1,1,1,0,2,1,0,1,1,4,0,1,0
173,3,1,1,5,1,3,1,1,1,1,2,0,1,1
97,3,1,1,5,1,3,1,1,1,1,2,0,1,1
126,8,1,1,5,1,3,1,1,1,4,1,1,1,1
16,3,1,1,4,1,2,1,1,1,4,2,0,1,1
17,10,1,1,1,0,2,1,0,1,5,4,0,1,0
70,1,1,1,5,1,3,1,1,1,1,5,0,1,1
1143,8,1,1,5,1,3,1,1,1,4,1,1,1,1
42,3,1,1,4,1,2,1,1,1,5,2,0,1,1
1004,8,1,1,5,1,3,1,1,1,3,1,1,1,1
39,5,1,1,1,0,2,1,0,1,4,4,0,1,0
505,9,1,1,3,1,1,1,1,1,4,3,0,1,1
232,9,1,1,5,1,3,1,1,1,3,3,0,1,1
1020,3,1,1,3,1,1,1,1,1,4,2,0,1,1
200,6,1,1,5,1,3,1,1,1,3,1,1,1,1
131,8,1,1,5,1,3,1,1,1,3,1,1,1,1
278,7,1,1,5,1,3,1,1,1,3,6,0,1,1
287,10,10,11,1,0,2,2,1,0,5,10,0,2,1
6,4,10,10,5,1,3,1,1,1,1,12,0,2,1
9,9,10,8,4,1,2,1,1,1,2,7,1,2,1
502,6,10,7,4,1,2,1,1,1,4,7,1,2,1
190,2,10,9,1,0,2,1,0,1,3,9,0,2,0
47,3,10,8,0,0,3,1,1,0,2,11,0,2,1
280,9,10,8,5,1,3,1,1,1,2,7,1,2,1
29,1,10,9,0,0,3,2,0,1,5,9,0,2,0
208,9,10,8,3,1,1,1,1,1,3,7,1,2,1
137,9,10,9,5,1,3,1,1,1,4,10,0,2,1
80,10,10,9,5,1,3,1,1,1,2,7,1,2,1
1141,7,10,10,0,0,3,1,1,0,4,10,0,2,1
27,6,10,7,4,1,2,2,1,1,2,7,1,2,1
226,10,10,9,4,1,2,1,1,1,5,7,1,2,1
21,3,10,10,3,1,1,1,1,1,2,12,0,2,1
258,1,10,6,5,1,3,1,1,1,1,6,0,1,1
98,2,10,12,5,1,3,1,1,1,4,11,0,2,1
239,6,10,10,0,0,3,1,1,0,2,12,0,2,1
5,10,10,10,1,0,2,1,0,1,3,8,0,2,0
288,8,10,10,3,1,1,1,1,1,2,11,0,2,1
30,2,10,11,5,1,3,1,1,1,1,7,1,2,1
154,5,10,9,2,0,1,2,1,0,4,10,0,2,1
268,9,10,10,0,0,3,1,0,1,1,9,0,2,0
19,7,10,8,5,1,3,1,1,1,1,12,0,2,1
162,5,10,10,0,0,3,1,0,1,3,8,0,2,0
1030,4,10,10,1,0,2,1,1,0,4,12,0,2,1
34,5,10,10,2,0,1,1,0,1,2,8,0,2,0
112,2,10,9,4,1,2,2,0,0,2,9,0,2,0
1050,8,10,9,4,1,2,1,1,1,4,7,1,2,1
1010,1,10,8,3,1,1,1,1,1,5,10,0,2,1
152,5,10,9,3,1,1,1,1,1,5,10,0,2,1
85,1,10,8,1,0,2,1,1,0,4,10,0,2,1
88,4,10,7,1,0,2,2,0,1,2,9,0,2,0
13,4,10,10,3,1,1,1,1,1,3,12,0,2,1
32,3,10,7,2,0,1,1,1,0,3,7,1,2,1
132,5,10,8,4,1,2,2,1,1,4,11,0,2,1
255,5,10,10,2,0,1,1,0,1,1,8,0,2,0
180,7,10,6,1,0,2,1,1,0,2,3,0,1,1
291,4,10,9,3,1,1,1,1,1,5,10,0,2,1
187,8,10,9,5,1,3,1,1,1,2,7,1,2,1
272,4,10,9,3,1,1,1,1,1,1,10,0,2,1
168,5,10,10,2,0,1,1,0,1,2,8,0,2,0
55,5,10,10,0,0,3,1,0,1,1,8,0,2,0
133,9,10,11,0,0,3,1,1,0,1,12,0,2,1
122,6,10,12,3,1,1,1,1,1,4,10,0,2,1
197,2,10,10,1,0,2,1,1,0,3,12,0,2,1
43,10,10,10,2,0,1,1,0,1,5,8,0,2,0
161,2,10,9,3,1,1,1,0,0,1,9,0,2,0
37,7,10,6,5,1,3,1,1,1,3,3,0,1,1
166,6,10,10,5,1,3,1,1,1,1,12,0,2,1
68,8,10,10,4,1,2,1,1,1,3,11,0,2,1
238,4,10,9,0,0,3,1,1,0,5,10,0,2,1
277,6,10,9,1,0,2,1,0,1,1,9,0,2,0
225,7,10,7,0,0,3,1,0,1,3,8,0,2,0
77,2,10,10,0,0,3,1,1,0,1,12,0,2,1
267,8,10,10,0,0,3,1,1,0,1,11,0,2,1
1142,9,10,10,1,0,2,1,0,1,4,9,0,2,0
167,8,10,7,4,1,2,1,1,1,3,10,0,2,1
247,9,10,9,4,1,2,1,1,1,5,10,0,2,1
281,6,10,10,1,0,2,1,1,0,5,12,0,2,1
1001,4,10,10,3,1,1,1,1,1,3,12,0,2,1
231,1,10,8,0,0,3,2,1,0,3,10,0,2,1
61,4,10,7,1,0,2,1,0,1,3,9,0,2,0
284,5,10,12,4,1,2,1,1,1,5,7,1,2,1
96,5,10,8,2,0,1,1,1,0,3,11,0,2,1
41,1,10,9,0,0,3,1,0,1,3,9,0,2,0
62,3,10,6,5,1,3,1,1,1,5,1,1,1,1
261,10,10,7,0,0,3,1,1,0,1,12,0,2,1
173,3,10,9,0,0,3,1,0,1,1,9,0,2,0
97,3,10,9,0,0,3,1,0,1,1,9,0,2,0
126,8,10,11,1,0,2,2,0,1,4,8,0,2,0
16,3,10,10,1,0,2,1,1,0,4,12,0,2,1
17,10,10,9,4,1,2,1,1,1,5,7,1,2,1
42,3,10,10,2,0,1,1,1,0,5,12,0,2,1
271,10,10,8,4,1,2,1,1,1,1,11,0,2,1
39,5,10,7,4,1,2,2,1,1,4,12,0,2,1
505,9,10,9,3,1,1,1,1,1,4,10,0,2,1
157,4,10,1,5,1,3,2,1,1,4,6,0,1,1
232,9,10,9,5,1,3,1,1,1,3,10,0,2,1
1020,3,10,10,1,0,2,1,1,0,4,12,0,2,1
200,6,10,8,3,1,1,2,1,1,3,11,0,2,1
131,8,10,9,4,1,2,1,1,1,3,7,1,2,1
278,7,10,10,5,1,3,1,1,1,3,10,0,2,1
35,4,10,7,0,0,3,2,0,1,3,9,0,2,0
6,4,11,11,0,0,3,1,1,0,1,11,0,2,1
9,9,11,9,5,1,3,1,1,1,2,10,0,2,1
502,6,11,12,1,0,2,1,1,0,4,10,0,2,1
262,1,11,10,5,1,3,2,1,1,5,12,0,2,1
190,2,11,10,1,0,2,1,1,0,3,12,0,2,1
47,3,11,9,1,0,2,1,0,1,2,9,0,2,0
242,2,11,10,0,0,3,1,1,0,5,12,0,2,1
280,9,11,9,5,1,3,1,1,1,2,10,0,2,1
29,1,11,10,0,0,3,1,1,0,5,12,0,2,1
137,9,11,10,2,0,1,1,0,1,4,9,0,2,0
1141,7,11,11,0,0,3,1,0,1,4,9,0,2,0
27,6,11,9,1,0,2,1,0,1,2,9,0,2,0
226,10,11,8,1,0,2,1,1,0,5,11,0,2,1
21,3,11,11,4,1,2,1,1,1,2,10,0,2,1
258,1,11,7,4,1,2,1,1,1,1,11,0,2,1
98,2,11,10,0,0,3,1,1,0,4,12,0,2,1
5,10,11,11,2,0,1,1,1,0,3,10,0,2,1
288,8,11,11,1,0,2,1,0,1,2,8,0,2,0
203,9,11,8,1,0,2,2,1,0,5,7,1,2,1
30,2,11,12,1,0,2,1,1,0,1,11,0,2,1
154,5,11,10,2,0,1,1,0,1,4,8,0,2,0
268,9,11,11,0,0,3,1,1,0,1,12,0,2,1
83,8,11,8,5,1,3,2,1,1,2,12,0,2,1
19,7,11,9,0,0,3,1,1,0,1,11,0,2,1
162,5,11,9,4,1,2,1,1,1,3,10,0,2,1
1030,4,11,11,3,1,1,1,1,1,4,11,0,2,1
235,7,11,10,5,1,3,1,1,1,3,10,0,2,1
44,1,11,10,5,1,3,2,1,1,2,12,0,2,1
112,2,11,10,1,0,2,1,1,0,2,12,0,2,1
1050,8,11,8,0,0,3,1,1,0,4,12,0,2,1
1010,1,11,9,4,1,2,1,0,0,5,9,0,2,0
152,5,11,10,4,1,2,1,0,0,5,8,0,2,0
85,1,11,9,1,0,2,1,0,1,4,9,0,2,0
88,4,11,8,2,0,1,1,0,1,2,8,0,2,0
13,4,11,11,3,1,1,1,1,1,3,11,0,2,1
198,4,11,12,5,1,3,1,1,1,5,7,1,2,1
132,5,11,9,4,1,2,1,1,1,4,10,0,2,1
180,7,11,5,4,1,2,1,1,1,2,5,0,1,1
272,4,11,10,0,0,3,1,1,0,1,12,0,2,1
168,5,11,11,2,0,1,1,0,1,2,9,0,2,0
55,5,11,11,0,0,3,1,0,1,1,9,0,2,0
122,6,11,8,3,1,1,1,1,1,4,11,0,2,1
197,2,11,11,4,1,2,1,1,1,3,7,1,2,1
43,10,11,11,2,0,1,1,1,0,5,10,0,2,1
37,7,11,3,0,0,3,1,0,1,3,4,0,1,0
166,6,11,11,0,0,3,1,0,1,1,8,0,2,0
68,8,11,11,1,0,2,1,0,1,3,8,0,2,0
238,4,11,10,5,1,3,1,1,1,5,12,0,2,1
277,6,11,10,3,1,1,1,1,1,1,12,0,2,1
225,7,11,8,4,1,2,1,1,1,3,12,0,2,1
267,8,11,11,0,0,3,1,0,1,1,8,0,2,0
1142,9,11,11,1,0,2,1,1,0,4,12,0,2,1
167,8,11,8,1,0,2,1,1,0,3,12,0,2,1
281,6,11,12,2,0,1,1,1,0,5,10,0,2,1
1001,4,11,11,3,1,1,1,1,1,3,11,0,2,1
26,6,11,8,3,1,1,2,1,1,5,11,0,2,1
231,1,11,9,0,0,3,1,0,1,3,9,0,2,0
58,8,11,9,0,0,3,2,1,0,5,7,1,2,1
61,4,11,8,1,0,2,1,0,1,3,8,0,2,0
284,5,11,8,4,1,2,1,1,1,5,11,0,2,1
96,5,11,11,0,0,3,1,0,1,3,9,0,2,0
41,1,11,8,0,0,3,1,1,0,3,10,0,2,1
143,7,11,5,5,1,3,2,1,1,2,5,0,1,1
146,7,11,9,2,0,1,2,1,0,4,11,0,2,1
62,3,11,7,4,1,2,1,1,1,5,7,1,2,1
261,10,11,8,4,1,2,1,1,1,1,11,0,2,1
173,3,11,10,5,1,3,1,1,1,1,12,0,2,1
126,8,11,10,4,1,2,1,1,1,4,11,0,2,1
16,3,11,11,2,0,1,1,1,0,4,10,0,2,1
17,10,11,10,2,0,1,1,0,1,5,8,0,2,0
70,1,11,8,1,0,2,3,1,0,1,10,0,2,1
1143,8,11,6,0,0,3,1,0,1,4,4,0,1,0
42,3,11,12,0,0,3,1,0,1,5,8,0,2,0
1004,8,11,9,4,1,2,2,1,1,3,7,1,2,1
271,10,11,9,5,1,3,1,1,1,1,7,1,2,1
39,5,11,8,3,1,1,1,1,1,4,11,0,2,1
505,9,11,10,2,0,1,1,0,1,4,9,0,2,0
232,9,11,10,0,0,3,1,0,1,3,9,0,2,0
1020,3,11,12,0,0,3,1,0,1,4,8,0,2,0
200,6,11,9,1,0,2,1,0,1,3,9,0,2,0
131,8,11,10,4,1,2,1,1,1,3,11,0,2,1
278,7,11,9,5,1,3,2,1,1,3,11,0,2,1
35,4,11,9,3,1,1,1,1,1,3,10,0,2,1
228,2,11,6,5,1,3,2,1,1,2,5,0,1,1
6,4,12,12,0,0,3,1,1,0,1,7,1,2,1
502,6,12,9,1,0,2,1,0,1,4,9,0,2,0
262,1,12,9,0,0,3,1,0,1,5,9,0,2,0
190,2,12,11,4,1,2,1,1,1,3,7,1,2,1
47,3,12,10,5,1,3,1,1,1,2,12,0,2,1
242,2,12,11,5,1,3,1,1,1,5,7,1,2,1
29,1,12,11,1,0,2,1,0,1,5,8,0,2,0
80,10,12,10,0,0,3,2,0,1,2,8,0,2,0
1060,9,12,10,1,0,2,2,0,1,2,9,0,2,0
1141,7,12,12,5,1,3,1,1,1,4,7,1,2,1
27,6,12,10,1,0,2,1,1,0,2,12,0,2,1
226,10,12,7,3,1,1,1,1,1,5,12,0,2,1
21,3,12,12,1,0,2,1,0,1,2,8,0,2,0
258,1,12,8,3,1,1,1,1,1,1,10,0,2,1
98,2,12,9,3,1,1,1,0,0,4,9,0,2,0
239,6,12,12,3,1,1,2,1,1,2,10,0,2,1
203,9,12,9,3,1,1,1,1,1,5,10,0,2,1
30,2,12,8,4,1,2,1,1,1,1,10,0,2,1
154,5,12,11,1,0,2,1,0,1,4,9,0,2,0
268,9,12,12,0,0,3,1,0,1,1,8,0,2,0
83,8,12,9,3,1,1,1,1,1,2,7,1,2,1
19,7,12,10,0,0,3,1,1,0,1,10,0,2,1
162,5,12,11,0,0,3,1,0,1,3,9,0,2,0
1030,4,12,12,3,1,1,1,1,1,4,7,1,2,1
44,1,12,11,0,0,3,1,0,1,2,8,0,2,0
100,10,12,5,4,1,2,5,1,1,4,3,0,1,1
34,5,12,11,0,0,3,2,0,1,2,9,0,2,0
112,2,12,11,4,1,2,1,1,1,2,7,1,2,1
1050,8,12,7,3,1,1,1,1,1,4,10,0,2,1
1010,1,12,10,0,0,3,1,1,0,5,12,0,2,1
152,5,12,11,2,0,1,1,0,1,5,9,0,2,0
85,1,12,10,1,0,2,1,1,0,4,12,0,2,1
88,4,12,9,4,1,2,1,1,1,2,10,0,2,1
13,4,12,12,3,1,1,1,1,1,3,7,1,2,1
198,4,12,11,4,1,2,1,1,1,5,11,0,2,1
255,5,12,11,0,0,3,2,0,1,1,9,0,2,0
180,7,12,7,1,0,2,1,0,1,2,8,0,2,0
291,4,12,7,0,0,3,2,0,1,5,9,0,2,0
187,8,12,10,5,1,3,2,1,1,2,11,0,2,1
272,4,12,11,4,1,2,1,1,1,1,11,0,2,1
168,5,12,12,4,1,2,1,1,1,2,7,1,2,1
78,1,12,5,0,0,3,6,1,0,4,3,0,1,1
55,5,12,12,5,1,3,1,1,1,1,7,1,2,1
133,9,12,12,0,0,3,1,0,1,1,8,0,2,0
122,6,12,9,3,1,1,1,0,0,4,9,0,2,0
197,2,12,12,1,0,2,1,1,0,3,11,0,2,1
43,10,12,12,2,0,1,1,0,1,5,9,0,2,0
161,2,12,10,0,0,3,2,1,0,1,12,0,2,1
37,7,12,7,0,0,3,1,0,1,3,8,0,2,0
166,6,12,12,5,1,3,1,1,1,1,10,0,2,1
68,8,12,12,2,0,1,1,0,1,3,9,0,2,0
238,4,12,11,4,1,2,1,1,1,5,11,0,2,1
225,7,12,11,1,0,2,1,0,1,3,9,0,2,0
77,2,12,12,4,1,2,2,1,1,1,11,0,2,1
267,8,12,12,0,0,3,1,0,1,1,9,0,2,0
1142,9,12,12,0,0,3,1,0,1,4,8,0,2,0
167,8,12,9,4,1,2,1,1,1,3,7,1,2,1
247,9,12,10,0,0,3,2,0,1,5,9,0,2,0
281,6,12,11,3,1,1,1,0,0,5,8,0,2,0
1001,4,12,12,5,1,3,1,1,1,3,7,1,2,1
26,6,12,9,1,0,2,1,0,1,5,9,0,2,0
231,1,12,11,0,0,3,1,0,1,3,8,0,2,0
58,8,12,12,4,1,2,1,0,0,5,9,0,2,0
61,4,12,9,3,1,1,1,1,1,3,10,0,2,1
284,5,12,7,1,0,2,1,1,0,5,12,0,2,1
96,5,12,12,5,1,3,1,1,1,3,7,1,2,1
41,1,12,7,0,0,3,1,1,0,3,11,0,2,1
143,7,12,6,5,1,3,1,1,1,2,3,0,1,1
146,7,12,10,2,0,1,1,1,0,4,10,0,2,1
62,3,12,8,3,1,1,1,1,1,5,11,0,2,1
261,10,12,9,5,1,3,1,1,1,1,7,1,2,1
24,4,12,7,1,0,2,4,0,1,1,9,0,2,0
173,3,12,11,5,1,3,1,1,1,1,10,0,2,1
97,3,12,11,5,1,3,1,1,1,1,10,0,2,1
126,8,12,7,0,0,3,1,1,0,4,10,0,2,1
16,3,12,12,1,0,2,1,0,1,4,8,0,2,0
17,10,12,11,1,0,2,1,1,0,5,10,0,2,1
42,3,12,11,4,1,2,1,1,1,5,10,0,2,1
1004,8,12,10,2,0,1,1,1,0,3,11,0,2,1
271,10,12,10,2,0,1,1,0,1,1,8,0,2,0
39,5,12,9,1,0,2,1,1,0,4,10,0,2,1
505,9,12,11,3,1,1,1,1,1,4,12,0,2,1
157,4,12,6,1,0,2,1,1,0,4,3,0,1,1
1020,3,12,11,1,0,2,1,1,0,4,10,0,2,1
200,6,12,10,3,1,1,1,1,1,3,12,0,2,1
131,8,12,11,2,0,1,1,0,1,3,8,0,2,0
278,7,12,11,0,0,3,1,0,1,3,9,0,2,0
35,4,12,10,1,0,2,1,1,0,3,12,0,2,1
228,2,12,7,1,0,2,1,0,1,2,8,0,2,0
287,10,13,10,2,0,1,3,0,1,5,8,0,2,0
6,4,13,14,0,0,3,1,0,1,1,16,0,3,0
9,9,13,10,2,0,1,2,0,1,2,9,0,2,0
502,6,13,13,0,0,3,1,0,1,4,18,0,3,0
262,1,13,11,4,1,2,1,0,0,5,8,0,2,0
190,2,13,12,1,0,2,1,1,0,3,11,0,2,1
47,3,13,11,4,1,2,1,1,1,2,10,0,2,1
242,2,13,12,2,0,1,1,1,0,5,11,0,2,1
280,9,13,10,1,0,2,2,0,1,2,9,0,2,0
29,1,13,12,5,1,3,1,1,1,5,7,1,2,1
137,9,13,11,1,0,2,2,1,0,4,12,0,2,1
80,10,13,11,3,1,1,1,1,1,2,10,0,2,1
1060,9,13,11,0,0,3,1,1,0,2,12,0,2,1
1141,7,13,13,0,0,3,1,1,0,4,15,0,3,1
27,6,13,11,1,0,2,1,0,1,2,8,0,2,0
226,10,13,10,2,0,1,1,0,1,5,8,0,2,0
21,3,13,13,0,0,3,1,0,1,2,13,1,3,0
258,1,13,9,2,0,1,1,0,1,1,9,0,2,0
98,2,13,13,5,1,3,1,1,1,4,17,0,3,1
239,6,13,11,2,0,1,1,0,1,2,8,0,2,0
5,10,13,12,0,0,3,2,0,1,3,9,0,2,0
288,8,13,12,3,1,1,2,0,0,2,9,0,2,0
203,9,13,10,0,0,3,1,0,1,5,9,0,2,0
30,2,13,10,4,1,2,1,1,1,1,12,0,2,1
154,5,13,12,4,1,2,1,1,1,4,7,1,2,1
268,9,13,13,0,0,3,1,0,1,1,18,0,3,0
83,8,13,10,2,0,1,1,1,0,2,11,0,2,1
19,7,13,11,0,0,3,1,0,1,1,9,0,2,0
162,5,13,12,1,0,2,1,1,0,3,7,1,2,1
1030,4,13,13,1,0,2,1,1,0,4,15,0,3,1
100,10,13,6,4,1,2,1,1,1,4,2,0,1,1
34,5,13,12,4,1,2,1,1,1,2,7,1,2,1
112,2,13,12,4,1,2,1,1,1,2,11,0,2,1
1010,1,13,11,3,1,1,1,0,0,5,8,0,2,0
85,1,13,11,1,0,2,1,0,1,4,8,0,2,0
88,4,13,10,3,1,1,1,1,1,2,12,0,2,1
198,4,13,10,4,1,2,2,1,1,5,12,0,2,1
32,3,13,8,3,1,1,3,1,1,3,11,0,2,1
132,5,13,10,1,0,2,2,0,1,4,8,0,2,0
180,7,13,8,1,0,2,1,1,0,2,12,0,2,1
291,4,13,8,1,0,2,1,0,1,5,8,0,2,0
187,8,13,11,0,0,3,1,0,1,2,8,0,2,0
272,4,13,12,4,1,2,1,1,1,1,7,1,2,1
78,1,13,2,4,1,2,2,1,1,4,1,1,1,1
55,5,13,14,4,1,2,1,0,0,1,18,0,3,0
133,9,13,10,0,0,3,2,0,1,1,9,0,2,0
122,6,13,11,4,1,2,1,0,0,4,8,0,2,0
197,2,13,13,5,1,3,1,1,1,3,17,0,3,1
43,10,13,9,2,0,1,2,1,0,5,7,1,2,1
37,7,13,8,5,1,3,1,1,1,3,12,0,2,1
166,6,13,13,0,0,3,1,0,1,1,18,0,3,0
68,8,13,13,1,0,2,1,0,1,3,16,0,3,0
277,6,13,11,3,1,1,2,0,0,1,8,0,2,0
77,2,13,11,5,1,3,1,1,1,1,7,1,2,1
267,8,13,13,4,1,2,1,0,0,1,16,0,3,0
1142,9,13,13,0,0,3,1,0,1,4,18,0,3,0
167,8,13,10,4,1,2,1,1,1,3,11,0,2,1
247,9,13,11,4,1,2,1,1,1,5,12,0,2,1
281,6,13,17,0,0,3,1,0,1,5,13,1,3,0
1001,4,13,13,4,1,2,1,1,1,3,15,0,3,1
26,6,13,10,4,1,2,1,1,1,5,12,0,2,1
231,1,13,12,5,1,3,1,1,1,3,7,1,2,1
58,8,13,11,0,0,3,1,0,1,5,8,0,2,0
284,5,13,10,4,1,2,1,0,0,5,8,0,2,0
41,1,13,16,0,0,3,1,0,1,3,13,1,3,0
143,7,13,7,1,0,2,1,0,1,2,8,0,2,0
62,3,13,9,3,1,1,1,0,0,5,9,0,2,0
261,10,13,10,0,0,3,1,0,1,1,8,0,2,0
24,4,13,8,2,0,1,1,0,1,1,8,0,2,0
173,3,13,12,0,0,3,1,0,1,1,8,0,2,0
97,3,13,12,0,0,3,1,0,1,1,8,0,2,0
126,8,13,8,1,0,2,1,1,0,4,12,0,2,1
16,3,13,13,0,0,3,1,0,1,4,13,1,3,0
17,10,13,12,1,0,2,1,0,1,5,9,0,2,0
70,1,13,9,0,0,3,2,0,1,1,9,0,2,0
1143,8,13,4,1,0,2,3,1,0,4,2,0,1,1
42,3,13,13,0,0,3,1,0,1,5,13,1,3,0
1004,8,13,11,1,0,2,1,0,1,3,8,0,2,0
271,10,13,11,4,1,2,1,1,1,1,10,0,2,1
505,9,13,12,2,0,1,1,0,1,4,8,0,2,0
232,9,13,11,1,0,2,2,1,0,3,12,0,2,1
1020,3,13,13,0,0,3,1,0,1,4,13,1,3,0
200,6,13,11,1,0,2,1,0,1,3,8,0,2,0
131,8,13,12,4,1,2,1,0,0,3,9,0,2,0
278,7,13,12,5,1,3,1,1,1,3,7,1,2,1
35,4,13,11,1,0,2,1,1,0,3,11,0,2,1
287,10,14,7,1,0,2,1,1,0,5,12,0,2,1
6,4,14,13,5,1,3,1,1,1,1,15,0,3,1
9,9,14,11,2,0,1,1,1,0,2,12,0,2,1
262,1,14,13,0,0,3,1,0,1,5,18,0,3,0
190,2,14,13,5,1,3,1,1,1,3,17,0,3,1
47,3,14,12,0,0,3,1,0,1,2,8,0,2,0
242,2,14,9,2,0,1,2,0,1,5,9,0,2,0
280,9,14,11,3,1,1,1,1,1,2,12,0,2,1
29,1,14,13,0,0,3,1,0,1,5,18,0,3,0
208,9,14,9,5,1,3,4,1,1,3,10,0,2,1
80,10,14,12,1,0,2,1,0,1,2,9,0,2,0
1060,9,14,12,0,0,3,1,0,1,2,8,0,2,0
1141,7,14,14,5,1,3,1,1,1,4,17,0,3,1
27,6,14,12,4,1,2,1,1,1,2,10,0,2,1
21,3,14,14,3,1,1,1,0,0,2,18,0,3,0
258,1,14,10,0,0,3,1,1,0,1,12,0,2,1
98,2,14,14,0,0,3,1,0,1,4,18,0,3,0
239,6,14,9,1,0,2,1,0,1,2,9,0,2,0
5,10,14,13,0,0,3,1,0,1,3,16,0,3,0
288,8,14,13,0,0,3,1,0,1,2,16,0,3,0
203,9,14,11,3,1,1,1,1,1,5,12,0,2,1
30,2,14,13,4,1,2,1,1,1,1,17,0,3,1
268,9,14,14,0,0,3,1,0,1,1,13,1,3,0
19,7,14,12,4,1,2,1,1,1,1,7,1,2,1
162,5,14,13,0,0,3,1,0,1,3,16,0,3,0
1030,4,14,14,1,0,2,1,0,1,4,16,0,3,0
235,7,14,9,5,1,3,5,1,1,3,11,0,2,1
44,1,14,12,5,1,3,2,1,1,2,7,1,2,1
34,5,14,13,1,0,2,1,0,1,2,16,0,3,0
112,2,14,13,4,1,2,1,1,1,2,17,0,3,1
1050,8,14,13,0,0,3,2,0,1,4,16,0,3,0
1010,1,14,12,4,1,2,1,1,1,5,7,1,2,1
152,5,14,12,5,1,3,2,1,1,5,7,1,2,1
88,4,14,11,3,1,1,1,1,1,2,11,0,2,1
195,2,14,7,1,0,2,5,0,1,2,8,0,2,0
